"","x"
"1",100502431
"2",100577048
"3",100502441
"4",100577003
"5",100502486
"6",100502474
"7",100576997
"8",47498541
"9",46488441
"10",100577067
"11",100577018
"12",100502463
"13",100502454
"14",100576982
"15",100502429
"16",100502425
"17",46488482
"18",100502460
"19",46630101
"20",46488508
"21",100502476
"22",100577054
"23",100576998
"24",100502413
"25",100502496
"26",100502465
"27",100502461
"28",100576972
"29",100576975
"30",100577005
"31",47498599
"32",100502481
"33",46630173
"34",100576989
"35",100577037
"36",100576964
"37",100502495
"38",47498548
"39",100576987
"40",47498611
"41",100502480
"42",100577034
"43",100502453
"44",46630301
"45",46630179
"46",100502446
"47",47498551
"48",46488533
"49",100577043
"50",100577010
"51",100502423
"52",100502459
"53",46488505
"54",46630388
"55",100577035
"56",100577006
"57",46630191
"58",100577036
"59",100502468
"60",100502487
"61",100502445
"62",47498596
"63",100576980
"64",46630858
"65",100502421
"66",100502443
"67",100576970
"68",46488559
"69",100577049
"70",46630909
"71",47498556
"72",46630497
"73",100577046
"74",47498562
"75",47498566
"76",46630083
"77",100502471
"78",100502412
"79",46488563
"80",46630234
"81",46630557
"82",100502436
"83",46630128
"84",100577041
"85",46488537
"86",100576994
"87",100502462
"88",100502483
"89",46488418
"90",100577058
"91",47498578
"92",100576985
"93",100577017
"94",100577064
"95",100502409
"96",100577040
"97",47498598
"98",100502430
"99",100576978
"100",46488540
"101",46488529
"102",100502464
"103",100577030
"104",46488484
"105",46630877
"106",100502478
"107",100502432
"108",100576963
"109",47498568
"110",46488393
"111",46488458
"112",100502416
"113",100577066
"114",100502449
"115",46488569
"116",100576969
"117",46630352
"118",100577061
"119",46630904
"120",46488473
"121",47498588
"122",46488416
"123",100577016
"124",100577008
"125",47498564
"126",46488571
"127",100502433
"128",46630913
"129",46630140
"130",100502415
"131",46630918
"132",100502434
"133",100502411
"134",46630866
"135",100577032
"136",46488414
"137",100577014
"138",46630591
"139",100577004
"140",100577027
"141",100502426
"142",100502494
"143",46488520
"144",46488479
"145",46630279
"146",47498569
"147",46630118
"148",46488512
"149",47498565
"150",46488545
"151",100502419
"152",46630247
"153",100502491
"154",100502440
"155",46630911
"156",47498615
"157",47498553
"158",47498547
"159",46488433
"160",100502493
"161",46630021
"162",47498600
"163",46488460
"164",100577026
"165",100576977
"166",46488450
"167",47498580
"168",46630712
"169",46630908
"170",46630411
"171",100576996
"172",100577025
"173",46630796
"174",47498573
"175",100577028
"176",46630581
"177",100502469
"178",100502499
"179",47498570
"180",46488553
"181",47498554
"182",100576990
"183",100502477
"184",46488556
"185",46488412
"186",100577023
"187",47498557
"188",47498585
"189",46488503
"190",46488400
"191",46630055
"192",46488404
"193",46488538
"194",46630400
"195",100577029
"196",46630164
"197",100502473
"198",46488477
"199",100576981
"200",46488480
"201",46488565
"202",100577024
"203",46630915
"204",100502472
"205",46630670
"206",47498567
"207",46630198
"208",46630448
"209",47498577
"210",46488462
"211",46630730
"212",100502450
"213",100502456
"214",46488411
"215",100599299
"216",100599275
"217",100740959
"218",100746749
"219",100597009
"220",100741015
"221",100597027
"222",100746811
"223",100746744
"224",100597044
"225",100596990
"226",100740977
"227",100746798
"228",100746801
"229",100597043
"230",100596982
"231",100746740
"232",100746758
"233",100596995
"234",100596965
"235",100746784
"236",100741009
"237",100746750
"238",100597042
"239",100740994
"240",100599248
"241",100599310
"242",100746810
"243",100596970
"244",100740945
"245",100599301
"246",100596964
"247",100597035
"248",100740940
"249",100740956
"250",100597003
"251",100599242
"252",100599265
"253",100597045
"254",100597023
"255",100599277
"256",100746762
"257",100596963
"258",100599272
"259",100740998
"260",100599234
"261",100597022
"262",100740992
"263",100597030
"264",100599249
"265",100596983
"266",100597015
"267",100599231
"268",100740964
"269",100746795
"270",100740939
"271",100741018
"272",100597049
"273",100597017
"274",100599261
"275",100740989
"276",100599255
"277",100741002
"278",100596972
"279",100746761
"280",100746738
"281",100746804
"282",100599269
"283",100746732
"284",100596986
"285",100596981
"286",100740972
"287",100741001
"288",100599240
"289",100599247
"290",100746731
"291",100599307
"292",100596977
"293",100599318
"294",100599293
"295",100746765
"296",100746733
"297",100597013
"298",100599317
"299",100740925
"300",100741008
"301",100597039
"302",100740965
"303",100597021
"304",100599251
"305",100740954
"306",100746764
"307",100741000
"308",100599298
"309",100740926
"310",100599264
"311",100599232
"312",100596993
"313",100597020
"314",100599305
"315",100599296
"316",100597034
"317",100596969
"318",100746772
"319",100599223
"320",100746763
"321",100740927
"322",100740936
"323",100741014
"324",100746788
"325",100597033
"326",100746766
"327",100746802
"328",100740961
"329",100597025
"330",100746742
"331",100746792
"332",100599227
"333",100597007
"334",100740970
"335",100597040
"336",100746768
"337",100746759
"338",100746748
"339",100599225
"340",100746783
"341",100746786
"342",100741003
"343",100597047
"344",100597016
"345",100597046
"346",100746728
"347",100597057
"348",100599302
"349",46445417
"350",44535443
"351",44535467
"352",100599241
"353",46445440
"354",46445413
"355",44535418
"356",100599304
"357",100740947
"358",100599300
"359",100597032
"360",100741021
"361",100599262
"362",100740980
"363",44535417
"364",46445401
"365",100597041
"366",44535434
"367",100740983
"368",100599259
"369",46445399
"370",100740971
"371",44535480
"372",100597061
"373",46445370
"374",44535485
"375",46445460
"376",44535456
"377",44535447
"378",44535487
"379",46445441
"380",46445415
"381",46445457
"382",100746787
"383",44535444
"384",44535470
"385",44535413
"386",46483401
"387",100596967
"388",46445414
"389",100740960
"390",100740986
"391",44535404
"392",44535465
"393",44535412
"394",46445429
"395",44535393
"396",44535421
"397",44535425
"398",44535426
"399",46483403
"400",46445390
"401",44535463
"402",44535408
"403",46445451
"404",46445385
"405",44535448
"406",44535403
"407",46445419
"408",44535483
"409",46445403
"410",46445459
"411",44535446
"412",46445383
"413",46445427
"414",44535429
"415",44535420
